SAMPLE_ID,STRUCTURE_ID,MEASURABLE?,SAMPLE_STATUS,SAMPLE_CURRENT_STATUS,TERMINATION_CAUSE,TERMINATION_STEP,TERMINATION_DETAILS,RXN_CHEMISTRY_TYPE,REACTION_SCALE_(mmol),SYNTHESIS_COMMENTS,PREFERRED_LCMS_METHOD,SPE_METHOD,SELECTED_FRACTIONS,VOLUME_COLLECTED_(mL),TOTAL_FRACTIONS_COLLECTED,RECOVERED_SAMPLE_DRY_MASS_(mg),PERCENT_YIELD,%_PURITY_(BY_LCMS),PURIFICATION_COMMENTS,
MTA0ST2022-051-001,MTA0ST2022-051-001,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,,Xbridge HpH,MCX,,,,,47.70%,,,
MTA0ST2022-051-001_S2,MTA0ST2022-051-001,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,HLB,F3L/F4S,10.17,2,17.6,0.00%,99%,,
MTA0ST2022-051-002,MTA0ST2022-051-002,,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),"Insufficient COI detected, below threshold,No conversion (SM is major peak)",amide coupling,0.1,,,,,,,,11.00%,,,
MTA0ST2022-051-003_G1,MTA0ST2022-051-003,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F3L/F1S,19.46,2,3.9,8.50%,98%,,
MTA0ST2022-051-003_G2,MTA0ST2022-051-003,TRUE,Failed,Terminated,Challenges of Sample/Chemistry,Synthesis (SAP1/2),No conversion (SM is major peak),amide coupling,0.1,,Xbridge HpH,,F3L/F1S,9.78,2,3,41.30%,0%,";;;""2nd group; no COI observed"";",
MTA0ST2022-051-004,MTA0ST2022-051-004,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,,F1L/F3S,11.3,1,14.5,14.80%,100%,F1=~F2,
MTA0ST2022-051-005,MTA0ST2022-051-005,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Gemini LpH,,F3L/F1S,8.78,1,5.2,16.00%,100%,,
MTA0ST2022-051-006,MTA0ST2022-051-006,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F3L/F1S,8.71,1,6,15.10%,100%,,
MTA0ST2022-051-007,MTA0ST2022-051-007,TRUE,Complete,Completed & Stored,,,,amide coupling,0.1,,Xbridge HpH,,F3L/F1S,9,1,5.1,0.00%,100%,,
MTA0ST2022-051-008,MTA0ST2022-051-008,,In progress,Synthesis,,,,amide coupling,0.1,,,,,,,,47.90%,,,
