STRUCTURE_ID,MolWt,EXACT_MASS,logP,MW,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,MolWt,ExactMolWt,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,TPSA,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
00YRB22-045-001,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355278409,75.25,1.28,1.404448127,779.8448861,-2.36,702525.969,5.581735383,140.275256,17.79236007,4.400694606,17.176725,11.07361877,50.23978653,29.94308701,12.79804265,-4.857612748,25.93115606,24.86116808,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-002,355.32,355.1,1.861,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355230643,75.25,1.28,1.404448127,779.8448861,-2.36,702525.969,5.581735383,140.275256,5.817862778,4.400694606,17.3072015,11.07361877,50.23978653,29.81261051,12.79722753,-4.858640033,31.70880978,24.86116808,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-003,377.323,377.1,0.5684,377.3,1,9,94.23,0.1034,3,377.323,377.1310887,0.817936934,359.179,0.8882,80.5478,0.785714286,144,0.457636727,-0.46107773,94.23,1.192307692,1.364958462,677.7446335,-2.08,1019051.174,6.266905775,145.8607668,13.33769871,0,11.66002428,11.07361877,63.84936207,5.155712727,12.81274992,-4.875832703,51.10372411,20.07596164,26,1,9,0,3,3,0,1,1,9,1,12,2,0,1,1,4
00YRB22-045-004,319.287,319.1,0.7379,319.3,1,7,75.77,0.125,3,319.287,319.1256094,0.881978534,303.159,1.0587,70.0818,0.75,122,0.457636727,-0.353766459,75.77,1.363636364,1.587184524,579.5620133,-1.84,111727.5116,5.111277501,123.8780768,0,4.681802935,11.52954778,18.12129076,50.86500472,11.3525563,12.69715799,-4.848630799,25.93115606,20.30536821,22,1,7,0,2,2,0,1,1,7,1,10,2,0,1,1,3
00YRB22-045-005,372.347,372.1,2.111,372.3,1,7,80.07,0.1034,3,372.347,372.1409251,0.852766359,353.195,1.7929,84.4708,0.6875,142,0.457636727,-0.376239817,80.07,1.269230769,1.377835771,719.1817862,-1.94,1077865.284,6.343541457,147.3596361,0,0,11.66002428,11.07361877,52.44597389,11.3525563,12.82491324,-4.861470984,45.09325927,19.96125835,26,1,7,0,3,3,0,1,1,7,1,10,2,0,1,1,4
00YRB22-045-006,369.347,369.1,2.251,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.355277555,75.77,1.307692308,1.41062731,857.17753,-2.36,1025194.288,5.831181285,146.6228342,11.3345635,0,22.69342572,18.12129076,50.40619157,23.61576694,12.8248393,-4.861471767,25.93115606,24.86116808,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-007,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355352994,75.25,1.24,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.275256,5.817862778,0,17.176725,11.07361877,50.23978653,29.94308701,12.79770023,-4.858052754,25.93115606,24.86116808,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-008,367.331,367.1,2.125,367.3,1,7,83.73,0.1034,3,367.331,367.1256094,0.87673747,351.203,2.2684,86.4118,0.5,138,0.457636727,-0.349961072,83.73,1.192307692,1.412050811,851.1392562,-2.49,1077865.284,6.044367323,146.0584082,5.516700718,4.983978521,22.69342572,11.07361877,50.82307044,29.68213401,12.81841724,-4.869124464,37.39619606,24.94523687,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-009,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355223886,75.25,1.28,1.404448127,779.8448861,-2.36,702525.969,5.581735383,140.2437096,5.817862778,0,17.176725,11.07361877,50.4691931,29.68213401,12.79722753,-4.858640033,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-010,358.32,358.1,1.778,358.3,1,7,80.07,0.1071,3,358.32,358.1252751,0.867701708,341.184,1.7504,79.6038,0.666666667,136,0.457636727,-0.370335328,80.07,1.24,1.377807106,703.7522637,-1.94,712321.8355,5.803424672,140.994694,0,0,11.66002428,11.07361877,45.83909192,11.3525563,12.79470916,-4.861825711,45.09325927,19.96125835,25,1,7,0,3,3,0,1,1,7,1,10,2,0,1,1,4
00YRB22-045-011,305.256,305.1,1.16,305.3,1,6,71.09,0.1304,3,305.256,305.098726,0.903589916,291.144,1.9182,65.5818,0.666666667,116,0.457636727,-0.449469141,71.09,1.333333333,1.587897183,523.5951136,-1.77,80598.34634,4.901133599,117.7317769,6.263162996,0,11.52954778,11.07361877,40.8551134,22.22966616,12.65818281,-4.847554697,31.74901884,14.97727983,21,1,6,0,2,2,0,1,1,6,1,9,2,0,1,1,3
00YRB22-045-012,369.347,369.1,1.666,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.356554789,75.77,1.269230769,1.41062731,857.17753,-2.36,1025194.288,5.831181285,146.5912878,11.3345635,4.681802935,22.56294922,18.12129076,50.63559814,23.48529044,12.82668171,-4.859124464,25.93115606,24.97587137,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
