Importance,Feature
0.11091533991904312,FractionCSP3
0.0886664677373303,MaxPartialCharge
0.07961753843213372,MinEStateIndex
0.06584378104000536,SMR_VSA10
0.06161335572976296,TPSA
0.054532189174538975,PEOE_VSA2
0.03979349417652415,PEOE_VSA10
0.03524851458383588,NumHeteroatoms
0.02541255220581591,EState_VSA8
0.023635706577053602,MinPartialCharge
0.022678802649058798,HallKierAlpha
0.022426074894093206,exactMolWt
0.021699252717900203,BalabanJ
0.021422386703066936,MolMR
0.020574592820083875,NumHDonors
0.01968861606463296,HeavyAtomMolWt
0.019682396568722407,NumValenceElectrons
0.01950322201488079,MolWt
0.018232367704458838,SlogP_VSA2
0.01597655082460298,MolLogP
0.015311616704486341,MaxEStateIndex
0.015292574184646723,EState_VSA3
0.015047360646263653,FpDensityMorgan1
0.014551042419663056,BertzCT
0.014178198313614615,LabuteASA
0.013567167788397368,SMR_VSA4
0.01330983466082008,NHOHCount
0.012553942033425485,Kappa2
0.01235142947272521,qed
0.011476697096830009,Ipc
0.010534869331655664,SlogP_VSA6
0.010405344845914068,NOCount
0.009558481053620673,HeavyAtomCount
0.007440737785270283,RingCount
0.006421352269147409,NumAliphaticHeterocycles
0.005588104032244836,NumRotatableBonds
0.005371571084129968,NumAromaticRings
0.004892914492565684,NumHAcceptors
0.004814496110453334,NumAromaticHeterocycles
0.004235870658024408,NumAliphaticRings
0.0028977123554684583,NumAromaticCarbocycles
0.0014867831077101045,NumSaturatedHeterocycles
0.0007133524563322214,NumSaturatedRings
0.0005884885032504472,NumSaturatedCarbocycles
0.00024685605579492445,NumAliphaticCarbocycles
