Importance,Feature
0.24321207,NumValenceElectrons
0.14769384,SMR_VSA10
0.075695634,NumAromaticHeterocycles
0.053283975,NumRotatableBonds
0.03916916,MaxPartialCharge
0.035718862,MinPartialCharge
0.029414434,NHOHCount
0.023584723,MinEStateIndex
0.02151109,HallKierAlpha
0.019210916,qed
0.01847457,NumAliphaticHeterocycles
0.01839397,TPSA
0.01805345,SlogP_VSA6
0.016436607,MolLogP
0.015546949,FractionCSP3
0.01536382,FpDensityMorgan1
0.01496079,HeavyAtomMolWt
0.014367109,SlogP_VSA2
0.01363673,MolWt
0.012089374,SMR_VSA4
0.011892544,PEOE_VSA10
0.01186659,BalabanJ
0.0118357,MolMR
0.011399002,MaxEStateIndex
0.011321303,NumHeteroatoms
0.010283927,EState_VSA8
0.010024047,NumHAcceptors
0.009608772,BertzCT
0.009050499,Ipc
0.008751212,NumAromaticCarbocycles
0.0080546625,Kappa2
0.0068535632,PEOE_VSA2
0.0067232503,LabuteASA
0.0065556327,EState_VSA3
0.0060064318,RingCount
0.0050892932,NOCount
0.0050119082,exactMolWt
0.003189932,HeavyAtomCount
0.0006636753,NumHDonors
0.0,NumSaturatedRings
0.0,NumSaturatedHeterocycles
0.0,NumSaturatedCarbocycles
0.0,NumAromaticRings
0.0,NumAliphaticRings
0.0,NumAliphaticCarbocycles
