SAMPLE_ID,STRUCTURE_ID,PREFERRED_LCMS_METHOD,SPE_METHOD,METHOD,SPE_SUCCESSFUL,CRASHED_OUT,SAMPLE_STATUS,SAMPLE_CURRENT_STATUS,TERMINATION_CAUSE,TERMINATION_STEP,TERMINATION_DETAILS,REACTION_SCALE_(mmol),SELECTED_FRACTIONS,VOLUME_COLLECTED_(mL),TOTAL_FRACTIONS_COLLECTED,RECOVERED_SAMPLE_DRY_MASS_(mg),PERCENT_YIELD,%_PURITY_(BY_LCMS),PURIFICATION_COMMENTS,EXTRA_COMMENTS,MolWt,ExactMolWt,logP,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,Principal component 1,Principal component 2,Principal component 3,class
MTA0ST2022-051-001_S2,MTA0ST2022-051-001,Xbridge HpH,HLB,HLB/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F4S,10.17,2.0,17.6,0.00%,99%,,,369.208,368.0442957,1.048,2,7,89.27,0.1154,3,0.836113607,355.096,1.3324,92.2619,0.266666667,126,0.325796621,-0.367937233,0.958333333,1.698773617,856.523282,-2.25,266964.993,6.702590446,146.3574388,5.693927995,14.57305289,34.79644578,0.0,46.95407213,33.85454264,12.39204993,-0.694173984,36.22429225,9.883888252,24,2,7,0,1,1,1,1,2,4,2,9,2,0,1,1,3,2.3584384483206033,-2.2339497110307254,-0.9873130565121505,0
MTA0ST2022-051-003_G1,MTA0ST2022-051-003,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,19.46,2.0,3.9,8.50%,98%,,,353.209,352.049381,1.498,1,6,69.3,0.12,3,0.897226681,339.097,2.0391,89.4362,0.266666667,120,0.345140591,-0.367937233,1.086956522,1.669394993,785.0414987,-2.05,192921.1836,6.598580067,142.1959167,5.693927995,4.794537184,34.79644578,0.0,46.95407213,35.25684903,12.34746659,-0.522877688,36.22429225,14.86786677,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3,3.491045854937844,-1.54108373067114,0.43727381382538283,0
MTA0ST2022-051-004,MTA0ST2022-051-004,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F3S,11.3,1.0,14.5,14.80%,100%,F1=~F2,,351.233,350.0588831,3.269,1,4,43.78,0.12,3,0.898108102,335.105,3.6614,92.6853,0.235294118,120,0.253612073,-0.507940774,0.956521739,1.658131724,728.2833485,-1.91,192921.1836,6.68649092,144.3893324,5.749511833,4.794537184,34.79644578,0.0,42.09264248,42.46456948,12.45163326,-0.060473583,28.69823093,4.899909731,23,1,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3,-2.7514897305988533,-1.240170765292674,0.602830151351375,2
MTA0ST2022-051-005,MTA0ST2022-051-005,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,8.78,1.0,5.2,16.00%,100%,,,352.265,351.0905176,3.852,1,4,39.34,0.12,3,0.89044245,333.113,3.90074,94.8452,0.352941176,122,0.255297347,-0.367937249,1.043478261,1.669621884,733.4348647,-1.65,196387.0312,6.457625713,145.5341433,0.0,4.794537184,34.79644578,0.0,41.9700936,24.26546827,12.62468882,0.097813454,23.13477944,9.883888252,23,1,4,0,1,1,1,1,2,2,1,6,2,0,1,1,3,-1.5925518330366604,0.8322800320666898,2.200924930432714,2
MTA0ST2022-051-006,MTA0ST2022-051-006,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,8.71,1.0,6.0,15.10%,100%,,,374.271,373.0748675,4.239,1,4,39.34,0.1071,3,0.720599971,357.135,4.4371,102.8772,0.210526316,128,0.255645053,-0.367937249,0.96,1.477057076,929.3188344,-2.17,914864.1629,6.618500302,155.4859236,0.0,4.794537184,45.69937072,0.0,41.9700936,48.66141305,12.86561852,0.075220861,23.13477944,9.883888252,25,1,4,0,1,1,2,1,3,2,1,6,2,0,1,1,4,3.7338869959518735,-2.948812913930863,-0.15229070621244503,0
MTA0ST2022-051-007,MTA0ST2022-051-007,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,9.0,1.0,5.1,0.00%,100%,,,338.238,337.0748675,3.457,1,4,39.34,0.125,3,0.908913728,321.102,3.59232,90.1082,0.3125,116,0.255286767,-0.367937249,1.090909091,1.660640573,690.4494075,-1.65,145352.016,6.225934344,139.1692012,0.0,4.794537184,34.79644578,0.0,41.9700936,30.46231185,12.47246659,0.090313454,23.13477944,9.883888252,22,1,4,0,1,1,1,1,2,2,1,6,2,0,1,1,3,3.1477281745024848,-3.6044122684311755,-2.5072147436028787,0
MTA0ST2022-051-009,MTA0ST2022-051-009,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F2S,12.69,1.0,17.5,37.30%,100%,,,365.26,364.0745332,3.678,1,4,43.78,0.1154,3,0.875976319,347.116,3.96982,97.4223,0.277777778,126,0.253882496,-0.507660947,1.041666667,1.691495442,771.6092319,-1.91,292393.7977,6.913050299,150.7542745,5.749511833,4.794537184,34.79644578,0.0,42.09264248,36.39820241,12.67246659,-0.04426988,34.26168242,4.899909731,24,1,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3,-3.086351886839474,-2.051330635861855,2.934753933114846,2
MTA0ST2022-051-010,MTA0ST2022-051-010,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F3L,9.89,1.0,13.3,42.00%,99%,,,356.297,355.1218177,2.769,0,4,26.79,0.12,3,0.815248071,333.113,2.9838,95.476,0.588235294,126,0.225401623,-0.367937665,1.0,1.55226321,564.9569491,-0.97,195946.0883,7.285800464,147.4816596,0.0,4.794537184,34.79644578,5.917906046,62.02320961,18.19910121,12.6521,0.210857722,15.95244636,16.84749144,23,0,4,0,2,2,1,0,1,3,0,6,2,0,2,2,3,-2.6487057222389416,-0.07858436938423125,-0.261579640907526,2
MTA0ST2022-051-011,MTA0ST2022-051-011,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,13.17,1.0,16.9,0.00%,100%,,,402.281,401.0697821,2.937,1,5,56.41,0.1,3,0.709730439,385.145,3.7973,109.1472,0.2,138,0.25436551,-0.367937249,0.925925926,1.5390883,1072.25504,-2.5,1749747.916,7.25308642,165.6579333,0.0,9.589074368,45.69937072,0.0,41.9700936,53.32547373,13.02395186,-0.271766577,47.30444446,9.883888252,27,1,5,0,1,1,2,1,3,3,1,7,2,0,1,1,4,5.293600101283708,-3.4888253134873595,-0.6296259223270905,0
MTA0ST2022-051-014,MTA0ST2022-051-014,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,12.1,1.0,10.8,35.10%,100%,,,393.274,392.0806812,2.461,1,6,69.3,0.1379,4,0.870915026,375.13,2.9165,101.4112,0.388888889,136,0.272357441,-0.367937233,1.076923077,1.448519867,902.3043734,-2.05,1773183.484,6.928164195,160.2849119,11.51833249,9.589074368,34.79644578,0.0,46.95407213,29.06000546,12.74269713,-0.264173984,47.9666028,14.86786677,26,1,6,1,1,2,1,1,2,4,1,8,3,1,1,2,4,-4.2562226871603155,0.06450627375887656,-0.5336263246443834,2
