Importance,Feature
0.077467814,FractionCSP3
0.07693869,MinEStateIndex
0.07315913,MaxPartialCharge
0.063850135,SMR_VSA10
0.0591099,SMR_VSA4
0.046985254,NumHeteroatoms
0.04677016,PEOE_VSA2
0.03815225,TPSA
0.03255379,RingCount
0.030265985,PEOE_VSA10
0.02603916,NumAliphaticHeterocycles
0.026007943,MinPartialCharge
0.019459825,NumSaturatedRings
0.019366648,MolMR
0.018976282,NHOHCount
0.018078981,NumHDonors
0.01626715,BalabanJ
0.01598255,NOCount
0.015794592,HallKierAlpha
0.015502525,HeavyAtomMolWt
0.014758298,NumAromaticRings
0.01469485,MolWt
0.014161855,SlogP_VSA6
0.013327408,NumValenceElectrons
0.012811523,NumAliphaticRings
0.012651945,Kappa2
0.012217241,exactMolWt
0.012190343,NumRotatableBonds
0.011477146,NumAromaticHeterocycles
0.011297444,MaxEStateIndex
0.011155751,BertzCT
0.011107174,FpDensityMorgan1
0.01108945,SlogP_VSA2
0.010727369,EState_VSA8
0.010561128,LabuteASA
0.010383722,MolLogP
0.009980924,EState_VSA3
0.00995406,qed
0.009585686,Ipc
0.008907926,NumHAcceptors
0.008857261,NumSaturatedHeterocycles
0.0071531134,HeavyAtomCount
0.0067705126,NumAromaticCarbocycles
0.006397987,NumAliphaticCarbocycles
0.0010510922,NumSaturatedCarbocycles
