SMILES,PREDICTED_SPE_METHOD,PREDICTED_LCMS_METHOD,MolWt,ExactMolWt,qed,TPSA,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,SMILES
ClC1=C(Cl)C=C(N2CCN(C(C3=CC(NC(N3)=O)=O)=O)CC2)C=C1,['HLB'],['Xbridge HpH'],369.2080000000001,368.0442956679999,0.8361136071388906,89.27000000000001,355.0960000000001,1.3323999999999994,92.26190000000001,0.26666666666666666,126,0.32579662103975454,-0.367937233361517,0.9583333333333334,1.6987736173065353,856.5232819624667,-2.2499999999999996,266964.99300494924,6.7025904456291086,146.3574388002092,5.693927994848461,14.573052889090853,34.7964457845001,0.0,46.95407212574669,33.854542641990086,12.392049927919334,-0.6941739842079084,36.22429225113295,9.883888251797686,24,2,7,0,1,1,1,1,2,4,2,9,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CC(NC(N3)=O)=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=NC=NC4=C3C=CN4)=O)CC2)C=C1,['MCX'],['Gemini LpH'],376.24700000000007,375.06536546,0.7460317811875781,65.12,361.1270000000002,3.227100000000001,98.4672,0.23529411764705882,128,0.27290770975322814,-0.36793723324883115,1.04,1.4870514575412002,933.6878359083587,-2.3099999999999996,931663.7911181436,6.536244034206525,153.92521955287117,17.66842529038073,4.794537184071822,45.82984721973263,0.0,51.9380506466939,36.78963192022406,12.818299927919336,-0.0687143242070487,34.47588465492399,19.8518452936921,25,1,6,0,1,1,1,2,3,4,1,8,2,0,1,1,4,ClC1=C(Cl)C=C(N2CCN(C(C3=NC=NC4=C3C=CN4)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=NC(NC=C3)=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],353.2090000000001,352.04938104799993,0.8972266811810304,69.3,339.09700000000015,2.0390999999999995,89.4362,0.26666666666666666,120,0.34514059108015205,-0.36793723327308,1.0869565217391304,1.6693949925676244,785.0414986716735,-2.05,192921.183601996,6.598580066823092,142.1959167001654,5.693927994848461,4.794537184071822,34.7964457845001,0.0,46.95407212574669,35.25684902953134,12.347466594586002,-0.5228776879116117,36.22429225113295,14.867866772744893,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=NC(NC=C3)=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC(O)=CC=C3)=O)CC2)C=C1,['MCX'],['Gemini LpH'],351.23300000000006,350.05888311199993,0.8981081020820925,43.78,335.10500000000013,3.661400000000002,92.68530000000003,0.23529411764705882,120,0.2536120729999885,-0.5079407739411402,0.9565217391304348,1.6581317244581613,728.2833484678118,-1.9099999999999997,192921.183601996,6.686490920437231,144.38933239042467,5.749511833283905,4.794537184071822,34.7964457845001,0.0,42.09264247869298,42.46456947923127,12.45163326125267,-0.06047358346630771,28.698230931004797,4.899909730850478,23,1,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CC(O)=CC=C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=C(C)NC(C)=C3)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],352.2650000000001,351.090517588,0.8904424499836355,39.34,333.1130000000001,3.9007400000000025,94.84520000000002,0.35294117647058826,122,0.25529734747149996,-0.3679372493109607,1.0434782608695652,1.6696218843197008,733.4348647397843,-1.65,196387.03120117768,6.457625712705707,145.53414328803615,0.0,4.794537184071822,34.7964457845001,0.0,41.97009360479949,24.26546827384644,12.624688816808224,0.09781345357072913,23.134779439307803,9.883888251797686,23,1,4,0,1,1,1,1,2,2,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=C(C)NC(C)=C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CNC4=C3C=CC=C4)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],374.2710000000001,373.074867524,0.7205999713454727,39.34,357.13500000000016,4.437100000000004,102.87720000000002,0.21052631578947367,128,0.25564505282925193,-0.36793724929880345,0.96,1.4770570755702754,929.3188344264597,-2.1699999999999995,914864.162850154,6.618500302108388,155.48592359097813,0.0,4.794537184071822,45.69937071658116,0.0,41.97009360479949,48.661413050844345,12.865618522023645,0.07522086097813663,23.134779439307803,9.883888251797686,25,1,4,0,1,1,2,1,3,2,1,6,2,0,1,1,4,ClC1=C(Cl)C=C(N2CCN(C(C3=CNC4=C3C=CC=C4)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=C(C)NC=C3)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],338.23800000000006,337.074867524,0.9089137281599662,39.34,321.1020000000001,3.5923200000000017,90.10820000000002,0.3125,116,0.2552867666239625,-0.3679372493109819,1.0909090909090908,1.6606405727995137,690.4494075227752,-1.65,145352.01596282047,6.225934344459867,139.16920117363955,0.0,4.794537184071822,34.7964457845001,0.0,41.97009360479949,30.462311845459514,12.472466594586002,0.09031345357072906,23.134779439307803,9.883888251797686,22,1,4,0,1,1,1,1,2,2,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=C(C)NC=C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CN(C)C(NC3=O)=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],383.2350000000001,382.0599457319999,0.8493229293621107,78.41,367.10700000000014,1.3427999999999995,96.88220000000003,0.3125,132,0.32758385055382416,-0.367937249102949,1.08,1.7253937004141053,929.7075633625216,-2.25,415054.2291274484,6.933951131472997,152.93235240120111,5.563451491696996,14.573052889090853,34.7964457845001,7.04767198267719,46.53719325259084,33.98501914514155,12.55950363162304,-0.6666549470517722,36.22429225113295,9.883888251797686,25,1,7,0,1,1,1,1,2,5,1,9,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CN(C)C(NC3=O)=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC(O)=C3C)=O)CC2)C=C1,['MCX'],['Gemini LpH'],365.2600000000001,364.07453317599993,0.8759763187184995,43.78,347.11600000000016,3.969820000000002,97.42230000000004,0.2777777777777778,126,0.25388249554276654,-0.5076609466134694,1.0416666666666667,1.6914954420181434,771.6092318875836,-1.9100000000000001,292393.7977342149,6.913050299108727,150.75427450482127,5.749511833283905,4.794537184071822,34.7964457845001,0.0,42.09264247869298,36.39820241076966,12.672466594586002,-0.044269879762604214,34.26168242270179,4.899909730850478,24,1,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC(O)=C3C)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3CCN(C)CC3)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],356.29700000000014,355.121817716,0.8152480706407116,26.79,333.1130000000001,2.9838000000000013,95.47600000000004,0.5882352941176471,126,0.22540162323173527,-0.36793766536333283,1.0,1.5522632102263378,564.9569491276033,-0.9700000000000002,195946.08831713238,7.285800464387745,147.4816596352184,0.0,4.794537184071822,34.7964457845001,5.917906046161393,62.02320960920509,18.19910120538483,12.652100003505126,0.21085772172352235,15.952446356834159,16.847491444378146,23,0,4,0,2,2,1,0,1,3,0,6,2,0,2,2,3,ClC1=C(Cl)C=C(N2CCN(C(C3CCN(C)CC3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC(NC4=C3C=CC=C4)=O)=O)CC2)C=C1,['MCX'],['Gemini LpH'],402.2810000000001,401.069782144,0.7097304388604958,56.410000000000004,385.1450000000002,3.7973000000000017,109.14720000000001,0.2,138,0.2543655101506209,-0.3679372493594879,0.9259259259259259,1.5390883004065095,1072.255040430592,-2.4999999999999996,1749747.9156582598,7.253086419753086,165.65793325095413,0.0,9.589074368143644,45.69937071658116,0.0,41.97009360479949,53.3254737317647,13.023951855356977,-0.2717665768005011,47.304444460446206,9.883888251797686,27,1,5,0,1,1,2,1,3,3,1,7,2,0,1,1,4,ClC1=C(Cl)C=C(N2CCN(C(C3=CC(NC4=C3C=CC=C4)=O)=O)CC2)C=C1
